OD,OD_nom,OD_lim,ID_nom,ID_lim,HT_nom,HT_lim,Permeability,A_L,PartName,PartNumber,Ae_mm2,Le_mm
50.6mm,0.05055,0.05151,0.02477,0.02400,0.02083,0.02159,19,56,Xflux,78750,262,113.5
50.6mm,0.05055,0.05151,0.02477,0.02400,0.02083,0.02159,26,76,Xflux,78727,262,113.5
50.6mm,0.05055,0.05151,0.02477,0.02400,0.02083,0.02159,40,117,Xflux,78733,262,113.5
50.6mm,0.05055,0.05151,0.02477,0.02400,0.02083,0.02159,60,175,Xflux,78726,262,113.5
50.6mm,0.05055,0.05151,0.02477,0.02400,0.02083,0.02159,75,219,Xflux,78729,262,113.5
50.6mm,0.05055,0.05151,0.02477,0.02400,0.02083,0.02159,90,263,Xflux,78730,262,113.5
50.6mm,0.05055,0.05151,0.02477,0.02400,0.02083,0.02159,125,366,Xflux,78725,262,113.5
50.6mm,0.05055,0.05151,0.02477,0.02400,0.02083,0.02159,14,41,HighFlux,58728,262,113.5
50.6mm,0.05055,0.05151,0.02477,0.02400,0.02083,0.02159,26,76,HighFlux,58727,262,113.5
50.6mm,0.05055,0.05151,0.02477,0.02400,0.02083,0.02159,60,175,HighFlux,58726,262,113.5
50.6mm,0.05055,0.05151,0.02477,0.02400,0.02083,0.02159,125,366,HighFlux,58725,262,113.5
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,19,23,Xflux,78708,125,127
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,26,32,Xflux,78717,125,127
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,40,49,Xflux,78721,125,127
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,60,73,Xflux,78716,125,127
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,75,91,Xflux,78720,125,127
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,90,109,Xflux,78719,125,127
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,125,152,Xflux,78715,125,127
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,14,17,HighFlux,58718,125,127
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,26,32,HighFlux,58717,125,127
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,60,73,HighFlux,58716,125,127
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,125,152,HighFlux,58715,125,127
50.8mm,0.05080,0.05169,0.03175,0.03094,0.01346,0.01435,147,179,HighFlux,58714,125,127
57.2mm,0.05715,0.05804,0.03556,0.03475,0.01397,0.01486,19,24,Xflux,78215,144,143
57.2mm,0.05715,0.05804,0.03556,0.03475,0.01397,0.01486,26,33,Xflux,78111,144,143
57.2mm,0.05715,0.05804,0.03556,0.03475,0.01397,0.01486,40,50,Xflux,78212,144,143
57.2mm,0.05715,0.05804,0.03556,0.03475,0.01397,0.01486,60,75,Xflux,78110,144,143
57.2mm,0.05715,0.05804,0.03556,0.03475,0.01397,0.01486,75,94,Xflux,78214,144,143
57.2mm,0.05715,0.05804,0.03556,0.03475,0.01397,0.01486,90,112,Xflux,78213,144,143
57.2mm,0.05715,0.05804,0.03556,0.03475,0.01397,0.01486,14,18,HighFlux,58112,144,143
57.2mm,0.05715,0.05804,0.03556,0.03475,0.01397,0.01486,26,33,HighFlux,58111,144,143
57.2mm,0.05715,0.05804,0.03556,0.03475,0.01397,0.01486,60,75,HighFlux,58110,144,143
57.2mm,0.05715,0.05804,0.03556,0.03475,0.01397,0.01486,125,156,HighFlux,58109,144,143
57.2mm(thick),0.05715,0.05804,0.02639,0.02558,0.01524,0.01613,19,44,Xflux,78188,229,125
57.2mm(thick),0.05715,0.05804,0.02639,0.02558,0.01524,0.01613,26,60,Xflux,78191,229,125
57.2mm(thick),0.05715,0.05804,0.02639,0.02558,0.01524,0.01613,40,92,Xflux,78189,229,125
57.2mm(thick),0.05715,0.05804,0.02639,0.02558,0.01524,0.01613,60,138,Xflux,78192,229,125
57.2mm(thick),0.05715,0.05804,0.02639,0.02558,0.01524,0.01613,75,172,Xflux,78193,229,125
57.2mm(thick),0.05715,0.05804,0.02639,0.02558,0.01524,0.01613,90,207,Xflux,78194,229,125
57.2mm(thick),0.05715,0.05804,0.02639,0.02558,0.01524,0.01613,125,287,Xflux,78195,229,125
57.2mm(thick),0.05715,0.05804,0.02639,0.02558,0.01524,0.01613,14,32,HighFlux,58190,229,125
57.2mm(thick),0.05715,0.05804,0.02639,0.02558,0.01524,0.01613,26,60,HighFlux,58191,229,125
57.2mm(thick),0.05715,0.05804,0.02639,0.02558,0.01524,0.01613,60,138,HighFlux,58192,229,125
57.2mm(thick),0.05715,0.05804,0.02639,0.02558,0.01524,0.01613,125,287,HighFlux,58195,229,125
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,19,60,Xflux,78612,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,26,82,Xflux,78615,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,40,126,Xflux,78616,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,60,189,Xflux,78617,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,75,237,Xflux,78618,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,90,284,Xflux,78619,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,14,44,HighFlux,58614,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,26,82,HighFlux,58615,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,40,126,HighFlux,58616,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,60,189,HighFlux,58617,360,144
62.0mm,0.06198,0.06309,0.03259,0.03170,0.02499,0.02591,125,394,HighFlux,58620,360,144
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,19,48,Xflux,78067,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,26,65,Xflux,78074,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,40,100,Xflux,78073,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,60,143,Xflux,78072,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,75,187,Xflux,78069,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,90,225,Xflux,78068,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,14,35,HighFlux,58075,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,26,65,HighFlux,58074,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,40,100,HighFlux,58073,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,60,143,HighFlux,58072,314,158
68.0mm,0.06800,0.06942,0.03599,0.03467,0.01999,0.02141,125,312,HighFlux,58070,314,158
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,19,64,Xflux,78744,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,26,88,Xflux,78735,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,40,136,Xflux,78736,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,60,204,Xflux,78737,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,75,255,Xflux,78738,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,90,306,Xflux,78739,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,14,48,HighFlux,58734,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,26,88,HighFlux,58735,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,40,136,HighFlux,58736,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,60,204,HighFlux,58737,497,184
74.1mm,0.07409,0.07521,0.04529,0.04440,0.03500,0.03592,125,425,HighFlux,58740,497,184
